measurement_index,timestamp,peak_type,frequency_hz,measured_power_dbm,compensation_db,corrected_power_dbm
0,2025-11-30T18:17:36.944987,carrier,144204699.0,5.62,-31.198597952054794,36.818597952054795
0,2025-11-30T18:17:36.944987,spurious,288404161.0,-39.62,-30.21093040410959,-9.409069595890408
0,2025-11-30T18:17:36.944987,spurious,432604643.0,-41.39,-27.157767616,-14.232232384
0,2025-11-30T18:17:36.944987,spurious,576805169.0,-54.92,-26.257166503167422,-28.66283349683258
0,2025-11-30T18:17:36.944987,spurious,721012613.0,-55.42,-25.474139657918553,-29.94586034208145
0,2025-11-30T18:17:36.944987,spurious,865214420.0,-51.52,-24.69114342081448,-26.828856579185523
0,2025-11-30T18:17:36.944987,spurious,1009408777.0,-45.9,-24.6,-21.299999999999997
0,2025-11-30T18:17:36.944987,spurious,1153613346.0,-54.49,-24.6,-29.89
0,2025-11-30T18:17:36.944987,spurious,1442003690.0,-57.31,-24.6,-32.71
0,2025-11-30T18:17:36.944987,spurious,2451413695.0,-64.61,-24.6,-40.01
0,2025-11-30T18:17:36.944987,spurious,2451409801.0,-64.67,-24.6,-40.07
1,2025-11-30T18:24:12.844762,carrier,144206137.0,5.48,-31.198588102739727,36.678588102739724
1,2025-11-30T18:24:12.844762,spurious,288410455.0,-41.12,-30.210887294520546,-10.909112705479451
1,2025-11-30T18:24:12.844762,spurious,432614062.0,-48.98,-27.15756667733333,-21.822433322666665
1,2025-11-30T18:24:12.844762,spurious,576799588.0,-54.0,-26.25719680723982,-27.74280319276018
1,2025-11-30T18:24:12.844762,spurious,721000500.0,-54.56,-25.474205429864256,-29.085794570135747
1,2025-11-30T18:24:12.844762,spurious,865210718.0,-51.14,-24.691163522171948,-26.448836477828053
1,2025-11-30T18:24:12.844762,spurious,1009408120.0,-45.86,-24.6,-21.259999999999998
1,2025-11-30T18:24:12.844762,spurious,1153609940.0,-53.3,-24.6,-28.699999999999996
